Facility, District,Hub
"Aliwang H/C III","Otuke","Alebtong Hub"
"Barjobi H/C III","Otuke","Lira Hub"
"Atangwata H/C III","Otuke","Alebtong Hub"
"Kristina H/C III","Otuke","Alebtong Hub"
"Aber Hospital","Oyam","Aber Hub"
"Agulurude H/C III","Oyam","Aber Hub"
"Anyeke H/C IV","Oyam","Aber Hub"
"Iceme H/C III","Oyam","Aber Hub"
"Ngai H/C III","Oyam","Aber Hub"
"Otwal H/C III","Oyam","Aber Hub"
"Minakulu H/C III (Oyam)","Oyam","Aber Hub"
"Ariba H/C II","Oyam","Aber Hub"
"Atipe H/C II","Oyam","Aber Hub"
"Atura H/C II","Oyam","Aber Hub"
"Alimi H/C II","Oyam","Aber Hub"
"Loro H/C III","Oyam","Aber Hub"
"Acholi Bur H/C III","Pader","Pajule Hub"
"Atanga H/C III","Pader","Pajule Hub"
"Kilak H/C III","Pader","Pajule Hub"
"Laguti H/C III","Pader","Pajule Hub"
"Pader H/C III","Pader","Pajule Hub"
"Pajule H/C  IV","Pader","Pajule Hub"
"Achol Pii Military H/C IV","Pader","Pajule Hub"
"Puranga H/C III","Pader","Pajule Hub"
"Ogom H/C III","Pader","Pajule Hub"
"Lapul H/C III","Pader","Pajule Hub"
"Anyagura H/C III","Pader","Kitgum Hub"
"Awere H/C III","Pader","Pajule Hub"
"Latanya H/C III","Pader","Pajule Hub"
"Sngagura H/C III","Pader","Kitgum Hub"
"Angagura H/C III","Pader","Pajule Hub"
"Rackoko H/C III","Pader","Pajule Hub"
"Lapanya H/C III","Pader","Pajule Hub"
"Ogonyo H/C III","Pader","Pajule Hub"
"All Saints H/C II","Pader","Pajule Hub"
"Mary Immaculate H/C II","Pader","Pajule Hub"
"Okinga H/C II","Pader","Pajule Hub"
"Bolo H/C II","Pader","Pajule Hub"
"Pader Maternity Home","Pader","Pajule Hub"
"Panyigoro H/C III","Pakwach","Nebbi Hub"
"Alwi H/C III","Pakwach","Nebbi Hub"
"Panyimur H/C III","Pakwach","Nebbi Hub"
"Pakwach Mission H/C III","Pakwach","Nebbi Hub"
"Pokwero H/C III","Pakwach","Nebbi Hub"
"Pakia H/C III","Pakwach","Nebbi Hub"
"Pakwach H/C IV","Pakwach","Nebbi Hub"
"Wadelai H/C III","Pakwach","Nebbi Hub"
"Kibale H/C III(Palisa)","Pallisa","Pallisa Hub"
"Pallisa General Hospital","Pallisa","Pallisa Hub"
"Nagwere H/C III","Pallisa","Pallisa Hub"
"Kaboloi H/C III","Pallisa","Pallisa Hub"
"Pallisa Mission Kaucho H/C III","Pallisa","Pallisa Hub"
"Apopong H/C III","Pallisa","Pallisa Hub"
"Galimagi H/C III","Pallisa","Pallisa Hub"
"Agule H/C III","Pallisa","Pallisa Hub"
"Gogonyo H/C III","Pallisa","Pallisa Hub"
"Kamuge H/C III","Pallisa","Pallisa Hub"
"Kasodo H/C III","Pallisa","Pallisa Hub"
"Kameke H/C III","Pallisa","Pallisa Hub"
"Pallisa Town Council H/C III","Pallisa","Pallisa Hub"
"Mpongi H/C III","Pallisa","Pallisa Hub"
"Kapawai H/C III","Pallisa","Pallisa Hub"
"St Richard's H/C III","Pallisa","Pallisa Hub"
"Kanyumu H/C III","Pallisa","Pallisa Hub"
"Agule Community H/C III (NGO)","Pallisa","Pallisa Hub"
"Kanginima Hospital","Pallisa","Pallisa Hub"
"Kapuwai Pacodat H/C III","Pallisa","Pallisa Hub"
"Buyamba H/C III-Rakai","Rakai","Rakai Hub"
"Kabuwoko H/C III","Rakai","Rakai Hub"
"Lwamaggwa H/C III","Rakai","Rakai Hub"
"Lwankoni H/C III","Rakai","Rakai Hub"
"Rakai Health Sciences Program","Rakai","Rakai Hub"
"Rakai Hospital","Rakai","Rakai Hub"
"Kimuli H/C III","Rakai","Rakai Hub"
"Kibanda H/C III (Rakai)","Rakai","Rakai Hub"
"Kifamba H/C III (Rakai)","Rakai","Rakai Hub"
"Kyalulangira H/C III","Rakai","Rakai Hub"
"Kiziba H/C III (Rakai)","Rakai","Rakai Hub"
"Lwanda H/C III","Rakai","Rakai Hub"
"Kacheera H/C III","Rakai","Rakai Hub"
"Byakabanda H/C III","Rakai","Rakai Hub"
"St Bernards Mannya H/C III","Rakai","Rakai Hub"
"Kibuuka H/C II","Rakai","Rakai Hub"
"Ssanje Domiciliary Clinic","Rakai","Rakai Hub"
"Biikira H/C III","Rakai","Rakai Hub"
"Kibaale  H/C II( Rakai)","Rakai","Rakai Hub"
"Lwambajjo H/C II","Rakai","Rakai Hub"
"Kayanja H/C II","Rakai","Rakai Hub"
"Muzito Clinic","Rakai","Rakai Hub"
"St Jacobs Lwamaggwa H/C","Rakai","Rakai Hub"
"St Charles Kabuwoko H/C III","Rakai","Rakai Hub"
"Kyamba H/C III","Rakai","Rakai Hub"
"Lwakalolo H/C II","Rakai","Rakai Hub"
"St Martin Clinic (Bukunda)","Rakai","Rakai Hub"
"Kayonza H/C II (Rakai)","Rakai","Rakai Hub"
"Kagamba H/C II","Rakai","Rakai Hub"
"Bugona H/C II","Rakai","Rakai Hub"
"St Cecilia Buyamba H/C III","Rakai","Rakai Hub"
"Mbuye H/C III","Rakai","Rakai Hub"
"St Denis Kyango H/C III","Rakai","Rakai Hub"
"Hamurwa H/C IV","Rubanda","Kabale Hub"
"Muko H/C IV","Rubanda","Kabale Hub"
"Muko H/C III (NGO)","Rubanda","Kabale Hub"
"Bubaare H/C III (Kabale)","Rubanda","Kabale Hub"
"Ruhija H/C III","Rubanda","Kabale Hub"
"Bwindi H/C III","Rubanda","Kabale Hub"
"Mpungu H/C II (kabale)","Rubanda","Kabale Hub"
"Rubanda PHC H/C III","Rubanda","Kabale Hub"
"Ikumba H/C III","Rubanda","Kabale Hub"
"Bufundi H/C III","Rubanda","Kabale Hub"
"Kakore H/C II","Rubanda","Kabale Hub"
"Bigungiro H/C II","Rubanda","Kabale Hub"
"Kagunga H/C II","Rubanda","Kabale Hub"
"Kagarama H/C II","Rubanda","Kabale Hub"
"Katerera H/C III","Rubirizi","Rugazi Hub"
"Rugazi H/C IV","Rubirizi","Rugazi Hub"
"Kichwamba H/C III (Rubirizi)","Rubirizi","Rugazi Hub"
"39th Infantry Battalian H/C II","Rubirizi","Rugazi Hub"
"Katunguru H/C III(Rubirizi)","Rubirizi","Rugazi Hub"
"Rutoto SDA H/C II","Rubirizi","Rugazi Hub"
"Kishenyi H/C II (Rubirizi)","Rubirizi","Rugazi Hub"
"Kyenzaza H/C II","Rubirizi","Rugazi Hub"
"Rugazi Mission H/C II","Rubirizi","Rugazi Hub"
"Kashaka H/C II","Rubirizi","Rugazi Hub"
"Kyabakara H/C II","Rubirizi","Rugazi Hub"
"Kazinga H/C II (Rubirizi)","Rubirizi","Rugazi Hub"
"Mushumba H/C IV","Rubirizi","Rugazi Hub"
"Rumuri H/CII","Rubirizi","Rugazi Hub"
"Ndangaro H/C II","Rubirizi","Rugazi Hub"
"Rumuri H/C II","Rubirizi","Rugazi Hub"
"Munyonyi H/C III","Rubirizi","Rugazi Hub"
"Bukinda H/C III","Rukiga","Kabale Hub"
"Kamwezi H/C IV","Rukiga","Kabale Hub"
"Mparo H/C IV","Rukiga","Kabale Hub"
"Kashambya H/C III","Rukiga","Kabale Hub"
"Kitanga H/C III (Rukiga)","Rukiga","Kabale Hub"
"Rwenyangye HC II","Rukiga","Kabale Hub"
"Kihanga H/C III","Rukiga","Kabale Hub"
"Muhanga COU H/CII","Rukiga","Kabale Hub"
"Kashekye H/C III","Rukiga","Kabale Hub"
"Buhunga H/C IV","Rukungiri","Nyakibale Hub"
"Kisiizi Hospital C.O.U (Rukungiri)","Rukungiri","Nyakibale Hub"
"Nyakibale Hospital","Rukungiri","Nyakibale Hub"
"Rukungiri H/C IV","Rukungiri","Nyakibale Hub"
"TASO Rukungiri","Rukungiri","Nyakibale Hub"
"Bugangari H/C IV","Rukungiri","Nyakibale Hub"
"Bwambara H/C III","Rukungiri","Nyakibale Hub"
"Kisiizi H/C III","Rukungiri","Nyakibale Hub"
"Buyanja H/C III (Rukungiri)","Rukungiri","Nyakibale Hub"
"Kebisoni H/C IV","Rukungiri","Nyakibale Hub"
"Rwenshama H/C III","Rukungiri","Nyakibale Hub"
"Nyakisenyi H/C III","Rukungiri","Nyakibale Hub"
"Bikurungu H/C III","Rukungiri","Nyakibale Hub"
"Nyakagyeme H/C III","Rukungiri","Nyakibale Hub"
"St Sabena H/C II","Rukungiri","Nyakibale Hub"
"Ruhinda H/C III","Rukungiri","Nyakibale Hub"
"Burombe H/C III","Rukungiri","Nyakibale Hub"
"Nyarushanje H/C III","Rukungiri","Nyakibale Hub"
"Ndama H/C III","Rukungiri","Nyakibale Hub"
"North Kigezi Diocese M C H/C IV","Rukungiri","Nyakibale Hub"
"Rukungiri Police H/C III","Rukungiri","Nyakibale Hub"
"Kibirizi HC III","Rukungiri","Nyakibale Hub"
"Rusheshe HC III","Rukungiri","Nyakibale Hub"
"Rwengiri HC III","Rukungiri","Nyakibale Hub"
"Karuhembe H/C II","Rukungiri","Nyakibale Hub"
"Masya H/C II (Gov't)","Rukungiri","Nyakibale Hub"
"Rwakabengo H/C III","Rukungiri","Nyakibale Hub"
"UG Prison Rukungiri H/C II","Rukungiri","Nyakibale Hub"
"Kateta H/C III","Serere","Serere Hub"
"Kadungulu H/C III","Serere","Serere Hub"
"Apapai H/C IV (Serere)","Serere","Serere Hub"
"Serere H/C IV","Serere","Serere Hub"
"Kyere H/C III","Serere","Serere Hub"
"Pingire H/C III 	","Serere","Serere Hub"
"Kidetok Mission H/C III","Serere","Serere Hub"
"Bugondo H/C III","Serere","Serere Hub"
"Atiira H/C III","Serere","Serere Hub"
"Kagwara H/C II","Serere","Serere Hub"
"St Martins H/C III ( AMAKIO)","Serere","Serere Hub"
"Kamod H/C II","Serere","Serere Hub"
"Aarapoo H/C II","Serere","Serere Hub"
"Kyere Mission NGO","Serere","Serere Hub"
"Kamusala H/C II","Serere","Serere Hub"
"Omagoro H/C III","Serere","Serere Hub"
"Akoboi HC II (Serere)","Serere","Serere Hub"
"KATETA COU HC II","Serere","Serere Hub"
"KATETA MORU HC II","Serere","Serere Hub"
"OBURIN HC II","Serere","Serere Hub"
"Kabwohe Clinical Research Centre","Sheema","Kitagata Hub"
"Kabwohe H/C IV","Sheema","Kitagata Hub"
"Kigarama H/C III","Sheema","Kitagata Hub"
"Kitagata  Hospital","Sheema","Kitagata Hub"
"Shuuku H/C IV","Sheema","Kitagata Hub"
"Hope Medical Center (Sheema)","Sheema","Kitagata Hub"
"Kyangyenyi H/C III","Sheema","Kitagata Hub"
"Bugongi H/C III","Sheema","Kitagata Hub"
"Mushanga H/C III","Sheema","Kitagata Hub"
"Kihunda H/C III","Sheema","Kitagata Hub"
"St Claret H/C II (Nyabwina)","Sheema","Kitagata Hub"
"Mabaare H/C III","Sheema","Kitagata Hub"
"Budadiri H/C IV","Sironko","Budadiri Hub"
"Bugitimwa Govt H/C III","Sironko","Budadiri Hub"
"Buhugu H/C III","Sironko","Budadiri Hub"
"Bulujewa H/C III","Sironko","Budadiri Hub"
"Bulwala H/C III","Sironko","Budadiri Hub"
"Bumulisha H/C III","Sironko","Budadiri Hub"
"Bumumulo H/C III","Sironko","Budadiri Hub"
"Sironko H/C III","Sironko","Budadiri Hub"
"Bunagami H/C III","Sironko","Budadiri Hub"
"Bunaseke H/C III","Sironko","Budadiri Hub"
"Butandiga H/C III","Sironko","Budadiri Hub"
"Buteza H/C III","Sironko","Budadiri Hub"
"Buwalasi H/C III","Sironko","Budadiri Hub"
"Buwasa H/C IV","Sironko","Budadiri Hub"
"Masiyompo H/C III","Sironko","Budadiri Hub"
"Mbaya H/C III","Sironko","Budadiri Hub"
"Shared Blessings H/C III","Sironko","Budadiri Hub"
"Kalawa H/C II","Sironko","Budadiri Hub"
"Bundege H/C III","Sironko","Budadiri Hub"
"Soroti R R Hospital","Soroti","Soroti Hub"
"TASO Soroti","Soroti","Soroti Hub"
"Soroti H/C III","Soroti","Soroti Hub"
"Soroti Medical Associate Nursing Home","Soroti","Soroti Hub"
"Uganda Cares (Soroti)","Soroti","Soroti Hub"
"Princess Diana H/C IV","Soroti","Soroti Hub"
"Gweri H/C III","Soroti","Soroti Hub"
"Asuret H/C III","Soroti","Soroti Hub"
"Kamuda H/C III","Soroti","Soroti Hub"
"Western Division H/C III","Soroti","Soroti Hub"
"Dakabela H/C III","Soroti","Soroti Hub"
"Tubur H/C III","Soroti","Soroti Hub"
"Kichinjaji H/C III","Soroti","Soroti Hub"
"Eastern Division H/C III","Soroti","Soroti Hub"
"Tiriri H/C IV","Soroti","Soroti Hub"
"Teso Safe Motherhood Project","Soroti","Soroti Hub"
"Aukot H/C II","Soroti","Soroti Hub"
"Ocokican H/C II","Soroti","Soroti Hub"
"Ojom H/C II","Soroti","Soroti Hub"
"Agirigiroi H/C II","Soroti","Soroti Hub"
"Lalle H/C II","Soroti","Soroti Hub"
"AIDS Information Centre (Soroti)","Soroti","Soroti Hub"
"Arabaka H/C II","Soroti","Soroti Hub"
"Opuyo H/C II","Soroti","Soroti Hub"
"Awaliwal H/C II","Soroti","Soroti Hub"
"Arapai H/C II","Soroti","Soroti Hub"
"Soroti Prison H/C III","Soroti","Soroti Hub"
"Katimba H/C III","Ssembabule","Ssembabule Hub"
"Lwebitakuli H/C III","Ssembabule","Ssembabule Hub"
"Lwemiyaga H/C III","Ssembabule","Ssembabule Hub"
"Mateete H/C III","Ssembabule","Ssembabule Hub"
"Ntuusi HC IV","Ssembabule","Ssembabule Hub"
"Ssembabule H/C IV","Ssembabule","Ssembabule Hub"
"St Agatha Lwebitakuli","Ssembabule","Ssembabule Hub"
"Kyabi H/C III","Ssembabule","Ssembabule Hub"
"Kabaale H/C II (Ssembabule)","Ssembabule","Ssembabule Hub"
"Mitete H/C II","Ssembabule","Ssembabule Hub"
"Makoole H/C II","Ssembabule","Ssembabule Hub"
"Ntete H/C II","Ssembabule","Ssembabule Hub"
"St Elizabeth Ntuusi H/C III (NGO)","Ssembabule","Ssembabule Hub"
"Bamu Hospital","Ssembabule","Ssembabule Hub"
"Busheka H/C II","Ssembabule","Ssembabule Hub"
"Malaba H/C III (Tororo)","Tororo","Tororo Hub"
"Mukuju H/C IV","Tororo","Tororo Hub"
"Mulanda H/C IV","Tororo","Tororo Hub"
"Rubongi Military Hospital","Tororo","Tororo Hub"
"TASO Tororo","Tororo","Tororo Hub"
"Tororo District Hospital","Tororo","Tororo Hub"
"Osukuru H/C III","Tororo","Tororo Hub"
"Nagongera H/C IV","Tororo","Tororo Hub"
"Iyolwa H/C III","Tororo","Tororo Hub"
"Panyangasi H/C III","Tororo","Tororo Hub"
"Merikit H/C III","Tororo","Tororo Hub"
"Kirewa H/C III","Tororo","Tororo Hub"
"Mudakori H/C III","Tororo","Tororo Hub"
"Bison H/C III","Tororo","Tororo Hub"
"Kiyeyi H/C III","Tororo","Tororo Hub"
"St Anthony Hospital","Tororo","Tororo Hub"
"Kwapa H/C III","Tororo","Tororo Hub"
"Mella H/C III","Tororo","Tororo Hub"
"Molo H/C III","Tororo","Tororo Hub"
"Poyameri H/C III","Tororo","Tororo Hub"
"Petta H/C III","Tororo","Tororo Hub"
"Paya H/C III","Tororo","Tororo Hub"
"Kisoko H/C III (Tororo)","Tororo","Tororo Hub"
"Atangi H/C III","Tororo","Tororo Hub"
"Kyamwinula H/C III","Tororo","Tororo Hub"
"Mifumi H/C III","Tororo","Tororo Hub"
"Osia H/C II","Tororo","Tororo Hub"
"Tororo Police H/C III","Tororo","Tororo Hub"
"Tororo Prison H/C II","Tororo","Tororo Hub"
"Crane Survey Tororo","Tororo","Tororo Hub"
"Buwambo H/C IV","Wakiso","Wakiso Hub"
"Kasangati H/C IV","Wakiso","Wakiso Hub"
"Katabi Military Hospital","Wakiso","Entebbe Hub"
"Kisubi Hospital","Wakiso","Entebbe Hub"
"Luwunga H/C III(1st Div Hospital)","Wakiso","Wakiso Hub"
"Namayumba H/C IV","Wakiso","Wakiso Hub"
"Wakiso H/C IV","Wakiso","Wakiso Hub"
"Nampunge Church of God H/C III","Wakiso","Wakiso Hub"
"Nabutiti H/C III","Wakiso","Wakiso Hub"
"Kasanje H/C III","Wakiso","Entebbe Hub"
"Nsangi H/C III","Wakiso","Wakiso Hub"
"Namulonge H/C III","Wakiso","Wakiso Hub"
"Kawanda H/C III","Wakiso","Wakiso Hub"
"Entebbe Hospital MCH General","Wakiso","Entebbe Hub"
"Ndejje H/C IV (Wakiso)","Wakiso","Entebbe Hub"
"Ttikalu H/C III","Wakiso","Wakiso Hub"
"Kigungu H/C III","Wakiso","Entebbe Hub"
"Bulondo H/C III","Wakiso","Wakiso Hub"
"Banda H/C II (Wakiso)","Wakiso","Wakiso Hub"
"Kakiri H/C III","Wakiso","Wakiso Hub"
"Mende H/C III","Wakiso","Wakiso Hub"
"Kira H/C III","Wakiso","Wakiso Hub"
"Bweyogerere H/C III","Wakiso","Entebbe Hub"
"Kasozi H/C III (Wakiso)","Wakiso","Wakiso Hub"
"TASO Entebbe","Wakiso","Entebbe Hub"
"Nurture Africa H/C III","Wakiso","Kampala Hub"
"Kiziba H/C III (Wakiso)","Wakiso","Wakiso Hub"
"Kabubbu H/C III","Wakiso","Wakiso Hub"
"Mirembe H/C III (Gayaza)","Wakiso","Wakiso Hub"
"Busawa Manze H/C III","Wakiso","Wakiso Hub"
"Wattuba H/C III","Wakiso","Wakiso Hub"
"Taqwa H/C III","Wakiso","Wakiso Hub"
"Bweyogerere H/C III Muslim (Hassan Tourabi H/C III)","Wakiso","Wakiso Hub"
"St Apollo H/C III-Namasuba","Wakiso","Entebbe Hub"
"Zzinga H/C II","Wakiso","Entebbe Hub"
"Zia Angelina","Wakiso","Wakiso Hub"
"JCRC (Wakiso)","Wakiso","Kampala Hub"
"Qudrah Medical Center","Wakiso","Wakiso Hub"
"Nabweru H/C III","Wakiso","Wakiso Hub"
"Bussi H/C III","Wakiso","Entebbe Hub"
"Ggwatiro Hospital","Wakiso","Kampala Hub"
"Rapha Medical Center(Wakiso)","Wakiso","Entebbe Hub"
"Kireka SDA H/C III","Wakiso","Entebbe Hub"
"Jjanda H/C III","Wakiso","Entebbe Hub"
"Kasenyi Art Site","Wakiso","Entebbe Hub"
"Faith Mulira Health Care Center","Wakiso","Wakiso Hub"
"Saidinah Abubaker Hospital","Wakiso","Wakiso Hub"
"Epi Centre H/C III (Wakiso)","Wakiso","Wakiso Hub"
"Doctors Hospital Sseguku","Wakiso","Entebbe Hub"
"Mirembe Medical Centre","Wakiso","Kampala Hub"
"St Francis Of Assis Naddangira H/C II","Wakiso","Wakiso Hub"
"Triam Medical Center","Wakiso","Wakiso Hub"
"Community H/C Plan Uganda Lugoba(Kawempe)","Wakiso","Kampala Hub"
"Mildmay Hospital Uganda","Wakiso","Entebbe Hub"
"Wagagai H/C IV","Wakiso","Entebbe Hub"
"Nakawuka H/C III","Wakiso","Entebbe Hub"
"Kyengera H/C II","Wakiso","Wakiso Hub"
"Cherish H/C III","Wakiso","Entebbe Hub"
"Kajjansi H/C III","Wakiso","Entebbe Hub"
"Namugongo Fund For Special Children","Wakiso","Kampala Hub"
"Henrob Medical Centre","Wakiso","Kampala Hub"
"St Joseph's Buyege H/C III","Wakiso","Entebbe Hub"
"Lufuka Valley Health Centre III","Wakiso","Entebbe Hub"
"Kitooro H/C III","Wakiso","Entebbe Hub"
"Crane Health Services","Wakiso","Wakiso Hub"
"Kitala H/C II","Wakiso","Entebbe Hub"
"MRC/UVRI-Entebbe","Wakiso","Entebbe Hub"
"Sseguku H/C II","Wakiso","Entebbe Hub"
"Nsamizi H/C III","Wakiso","Entebbe Hub"
"Mutungo H/C II","Wakiso","Entebbe Hub"
"Senta Medicare","Wakiso","Kampala Hub"
"Nansana H/C II","Wakiso","Wakiso Hub"
"Family Care Hospital","Wakiso","Wakiso Hub"
"Gombe H/C II","Wakiso","Wakiso Hub"
"Naluvule Medical Centre","Wakiso","Wakiso Hub"
"Banga H/C III","Wakiso","Wakiso Hub"
"Luttamaguzi H/C III","Wakiso","Entebbe Hub"
"Mutundwe H/C II","Wakiso","Entebbe Hub"
"Kasozo H/CII","Wakiso","Wakiso Hub"
"Nalugala H/C II","Wakiso","Entebbe Hub"
"Nassolo Wamala H/C II","Wakiso","Wakiso Hub"
"Nassolo Wamala H/C III","Wakiso","Wakiso Hub"
"Kigo Prisons H/C III","Wakiso","Wakiso Hub"
"Kakiri Military Hospital","Wakiso","Wakiso Hub"
"Jaro Hospital","Wakiso","Kampala Hub"
"Sanyu Clinic","Wakiso","Wakiso Hub"
"St Ulrika H/C III","Wakiso","Wakiso Hub"
"Kitalya Prison H/C II","Wakiso","Wakiso Hub"
"Nabbingo Parish H/C III","Wakiso","Wakiso Hub"
"St Kizito H/C II (Kijabijo)","Wakiso","Wakiso Hub"
"Katabi H/C III","Wakiso","Entebbe Hub"
"State House H/C IV","Wakiso","Entebbe Hub"
"EMABS CLINIC","Wakiso","Entebbe Hub"
"Dr Ronald Bata Hospital","Wakiso","Entebbe Hub"
"Kasenge H/C II","Wakiso","Wakiso Hub"
"Bbira H/C III (Wakiso)","Wakiso","Wakiso Hub"
"Muzinda Katereke H/C","Wakiso","Wakiso Hub"
"Matugga H/C III","Wakiso","Wakiso Hub"
"Kirinya H/C II","Wakiso","Wakiso Hub"
"Kulikulinga H/C III","Yumbe","Yumbe Hub"
"Yumbe Hospital","Yumbe","Yumbe Hub"
"Lodonga H/C III","Yumbe","Yumbe Hub"
"Yumbe H/C IV","Yumbe","Yumbe Hub"
"Ariwa H/C III","Yumbe","Yumbe Hub"
"Kochi H/C III (Yumbe)","Yumbe","Yumbe Hub"
"Matuma H/C III 	","Yumbe","Yumbe Hub"
"Midigo H/C IV","Yumbe","Yumbe Hub"
"Yoyo H/C III","Yumbe","Yumbe Hub"
"Kei H/C III","Yumbe","Yumbe Hub"
"Dramba H/C II","Yumbe","Yumbe Hub"
"Lazebu H/C II","Yumbe","Yumbe Hub"
"Barakala H/C III","Yumbe","Yumbe Hub"
"Bidibidi Reception H/C III","Yumbe","Yumbe Hub"
"Twajij Health Centre III","Yumbe","Yumbe Hub"
"Iyete H/C III","Yumbe","Yumbe Hub"
"Ambelechu H/C II","Yumbe","Yumbe Hub"
"Luzira H/C III","Yumbe","Yumbe Hub"
"Yangani H/C II","Yumbe","Yumbe Hub"
"Swinga H/C III","Yumbe","Yumbe Hub"
"Okubani H/C III","Yumbe","Yumbe Hub"
"Jomorogo H/C III","Yumbe","Yumbe Hub"
"Komgbe H/C III","Yumbe","Yumbe Hub"
"Bolomowi H/C III","Yumbe","Yumbe Hub"
"Igamara H/C III","Yumbe","Yumbe Hub"
"Bangatuti H/C III","Yumbe","Yumbe Hub"
"Bolomoni H/C III","Yumbe","Yumbe Hub"
"Yayari H/C III","Yumbe","Yumbe Hub"
"Koro H/C III","Yumbe","Yumbe Hub"
"Holy Family Hospital-Nyapea","Zombo","Warr Hub"
"Alangi H/C III","Zombo","Warr Hub"
"Agiermach H/C III","Zombo","Warr Hub"
"Pakadha H/C III","Zombo","Warr Hub"
"Warr H/C III","Zombo","Warr Hub"
"Kango H/C III","Zombo","Warr Hub"
"Jangokoro H/C III","Zombo","Warr Hub"
"Zombo H/C III","Zombo","Warr Hub"
"Zeu H/C III (Zombo)","Zombo","Warr Hub"
"Paidha H/C III","Zombo","Warr Hub"
"Atyenda H/C II","Zombo","Warr Hub"
